ID NODO | ID WAY | Nombre | latitud | longitud 
1111132270 | 40012229 | Subida al Cerro | -32.8871917 | -68.8912036
1111132225 | 40012229 | Subida al Cerro | -32.8871134 | -68.8911104
1111132214 | 40012229 | Subida al Cerro | -32.8870201 | -68.8910293
1111132350 | 40012229 | Subida al Cerro | -32.8869444 | -68.8909692
1111132236 | 40012229 | Subida al Cerro | -32.8868787 | -68.890894
1111132395 | 40012229 | Subida al Cerro | -32.8868333 | -68.8907858
1111132376 | 40012229 | Subida al Cerro | -32.8868283 | -68.8906626
1111132288 | 40012229 | Subida al Cerro | -32.8868787 | -68.8905875
1111132205 | 40012229 | Subida al Cerro | -32.8869519 | -68.8905304
4598306495 | 40012229 | Subida al Cerro | -32.8869839 | -68.8904948
1768612998 | 40012229 | Subida al Cerro | -32.8870739 | -68.8904818
1111132307 | 40012229 | Subida al Cerro | -32.8871905 | -68.8904649
4598306496 | 40012229 | Subida al Cerro | -32.8872562 | -68.8904833
1768613004 | 40012229 | Subida al Cerro | -32.8873668 | -68.8905143
1111132358 | 40012229 | Subida al Cerro | -32.8874659 | -68.8906005
1111132260 | 40012229 | Subida al Cerro | -32.8876371 | -68.890603
